what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338410510727
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338410530360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338410531269
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338410537677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338410544692
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338410546565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338410553023
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1338410587114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338410587155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338410591220
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338410591273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1338410611091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338410613631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338410656251
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338410659156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338410671928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411141196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411157343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411221283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411236940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411242032
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338411290437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411337679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411355538
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338411361643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411377198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411389098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338411444416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411459972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338411668948
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338411676751
